key	vpdIdx	angChord	angKink	dAng	label	cols	kinkDeg	gain	splitIdx	kFrac	lenA	lenB	chordLenM	frontLenM	r3	bestIdx	ruleOk	dyChord	dyKink	cleanRatio	depthM	mpp	areaPx	tilt
2:1	1	58.13237750905052	1.8382761356393298	-56.29410137341119	개선	84	41.78893922014921	4.102677544029231	18	0.21428571428571427	2.4933636244394877	1.9538286353594938	3.7650632714062127	1.9538286353594938	1	1	true	-54.08691568363929	-21.50544304151242	0.9880952380952381	23.63615050777579	0.01134055202230787	64557	10
2:1	2	38.225500425799225	38.225500425799225	0	폴백	99	14.370667294094117	1.5533703977294058	31	0.31313131313131315	2.3340074068985586	2.733969289438499	3.427937591938119	3.427937591938119	1	1	true	-47.95060197911778	-47.95060197911778	0.797979797979798	25.235448923524807	0.00874473875494418	65866.5	10
2:1	3	11.296604723826004	38.93688683683247	27.640282113006467	악화	174	40.67884226430309	2.9717002187839228	62	0.3563218390804598	14.73940990954503	3.950623177804962	9.88114071483556	3.950623177804962	1	0	false	-84.26140335186244	-20.490409469660108	0.632183908045977	29.477820323249677	0.01427910507924214	102510	10
2:1	4	26.742876924523184	1.3665803422325882	-25.376296582290596	개선	93	36.70862023291684	2.9644461358353356	24	0.25806451612903225	2.7998843011483583	2.2670760274431685	2.9598792918419203	2.2670760274431685	1	1	true	-36.17818293024061	-22.496234661522976	0.967741935483871	24.16816020117765	0.008043150249570436	65763	10
2:1	5	81.20361214245227	23.26700152818041	-57.93661061427186	개선	121	34.2566166139843	6.731660585366835	66	0.5454545454545454	1.764152547915921	3.2502627861508118	4.248686140795107	1.764152547915921	0	0	true	-156.59243716642152	-46.376398304892405	0.5206611570247934	17.827883920709134	0.008851429459989808	94729.5	10
2:1	6	14.81449516783417	14.81449516783417	0	폴백	58	3.0441870350232683	1.3329238363448244	37	0.6379310344827587	1.1147229142030315	0.5069662544814126	1.4270267426653531	1.4270267426653531	1	0	false	-33.43701813586176	-33.43701813586176	1	16.16462888640219	0.006258889222216461	46651.5	10
2:1	7	23.464674583183943	24.183856138187217	0.7191815550032743	악화	159	42.80197444051735	1.5328647302589762	147	0.9245283018867925	2.7505225406759664	0.6131841733857322	2.968264429267232	2.7505225406759664	0	0	true	386.92055279978354	384.8558432235476	1	14.289941974918337	0.004696620932384861	150151.5	10
2:2	0	57.147964951969264	3.0760368904041338	-54.07192806156513	개선	119	45.325828127577324	5.813409627508751	82	0.6890756302521008	3.2456763934944406	4.330041820769338	4.021990032148305	3.2456763934944406	0	0	true	-187.15201431634432	-135.6959775016698	0.13445378151260504	23.045839848622307	0.008521165322348104	57123	17
2:2	1	74.26287958846582	14.38174243744276	-59.88113715102306	개선	107	37.788933254072006	7.716053297549434	59	0.5514018691588785	2.197680298332773	5.641966043062123	4.36761814048768	2.197680298332773	0	0	true	-182.70314702733197	-134.1808900021293	0.2336448598130841	25.137124385415326	0.010300986180395473	41337	17
2:2	2	0.9079243579425559	9.087599420320734	8.179675062378179	악화	195	49.035552714765586	3.990093629343728	98	0.5025641025641026	2.1519510564825692	7.109699221609354	7.030452515611537	2.1519510564825692	0	0	true	-263.682475638023	-33.29738153311223	0.6358974358974359	13.90746986160672	0.009059861489190125	209407.5	17
2:2	3	48.986128036105576	6.811640262925936	-42.17448777317964	개선	126	48.02424881567214	3.3604906561457204	90	0.7142857142857143	2.6813026114313305	4.275936600689082	3.7327360432883325	2.6813026114313305	0	0	true	-185.72232991340604	-140.2041163951593	0.09523809523809523	21.269705316892146	0.007465472086576665	70798.5	17
2:2	4	14.50211801212457	20.071172265281575	5.569054253157006	악화	168	35.7700356468698	5.167643919546848	71	0.4226190476190476	1.9330088136854378	7.4306154835825575	7.773264259241794	1.9330088136854378	0	0	true	-222.91735894827718	-42.61835538531466	0.5	20.334990316260434	0.011636623142577537	108256.5	17
2:2	5	35.46133681947408	35.46133681947408	0	폴백	52	4.785816724787848	2.6023901230703554	36	0.6923076923076923	1.446128887157362	0.4282941473122988	2.6034989400903275	2.6034989400903275	1	1	true	-117.38004796433268	-117.38004796433268	0.36538461538461536	20.309237142322896	0.012762249706325135	30235.5	17
2:2	6	1.387720820008068	10.607499996814113	9.219779176806044	악화	189	86.33893100476958	2.253211282686337	146	0.7724867724867724	5.699768096703846	7.0244425424187895	6.698847150113862	5.699768096703846	0	0	true	-232.7858805204096	-168.49373703950425	0.42328042328042326	17.8892943004447	0.008908041423023752	142317	17
2:2	7	61.373257603237484	85.6313443516677	24.258086748430223	악화	79	22.293746503558438	1.8341444167200844	22	0.27848101265822783	2.4070949426935706	2.235877202351402	2.968711896520845	2.235877202351402	1	0	false	-179.45762250427384	-161.3955660500862	1	31.705860813732286	0.009515102232438606	33763.5	17
2:2	8	51.222189269688066	24.479186172246155	-26.74300309744191	개선	207	35.418902583626995	2.693755677833521	150	0.7246376811594203	2.5675915099547386	2.085959974904929	3.852938205182645	2.5675915099547386	0	0	true	-161.85833284260355	-68.60425550942352	1	12.363081685915436	0.004675895880076025	267358.5	17
